192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.140,Apple_54:a3:88,10.221.0.1,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.140,Apple_54:a3:88,10.221.0.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.140,Apple_54:a3:88,10.221.0.1,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.140,Apple_54:a3:88,10.221.0.1,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.106,RealtekS_68:00:37,192.168.1.1,Broadcast
0.0.0.0,Apple_0a:45:69,192.168.1.127,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
0.0.0.0,Apple_0a:45:69,192.168.1.127,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.106,RealtekS_68:00:37,192.168.1.1,Broadcast
0.0.0.0,Apple_0a:45:69,192.168.1.127,Broadcast
192.168.1.127,Apple_0a:45:69,192.168.1.127,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.127,Apple_0a:45:69,192.168.1.127,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.106,RealtekS_68:00:37,192.168.1.1,Broadcast
192.168.1.127,Apple_0a:45:69,192.168.1.127,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.111,HonHaiPr_f8:77:b3,192.168.1.111,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
169.254.220.123,LiteonTe_07:af:7b,169.254.109.189,Broadcast
192.168.122.1,HonHaiPr_f8:77:b3,146.155.1.155,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.127,Apple_0a:45:69,192.168.1.9,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.111,HonHaiPr_f8:77:b3,192.168.1.111,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.116,Apple_f1:ec:4c,10.230.0.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.9,HewlettP_ef:e9:a5,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.106,RealtekS_68:00:37,192.168.1.1,Broadcast
192.168.1.130,Apple_c6:d4:1f,192.168.1.0,Broadcast
192.168.1.106,RealtekS_68:00:37,192.168.1.1,Broadcast
